id;weight;ingredient_id;recipe_id
384;70;3;48
385;50;4;48
386;250;70;48
387;400;2;48
388;400;79;48
389;250;19;49
390;100;4;49
391;150;80;49
392;10;81;49
393;2000;7;49
394;250;64;49
395;300;2;49
396;200;26;49
397;50;77;49
398;3000;7;50
399;50;65;50
400;20;14;50
401;60;8;50
402;250;9;50
403;50;4;50
404;50;3;50
405;300;2;50
406;500;82;50
407;500;10;50
408;500;16;51
409;500;2;51
410;100;4;51
411;2000;7;51
412;100;14;51
413;5;83;52
414;400;22;52
415;220;84;52
416;200;21;52
417;70;4;52
418;1000;15;52
419;750;7;52
420;300;85;53
421;80;4;53
422;100;26;53
423;50;4;53
424;1000;7;53
425;20;14;53
426;10;48;54
427;1000;7;54
428;20;65;54
429;230;2;54
430;182;1;54
431;200;1;54
432;120;5;54
433;40;8;54
434;85;21;54
435;85;3;54
436;85;4;54
437;30;14;54
438;5;86;54
439;30;87;55
440;10;4;55
441;60;64;55
442;70;82;55
443;4;88;55
444;3000;7;56
445;50;4;56
446;100;3;56
447;300;26;56
448;300;89;56
449;300;12;56
450;450;2;56
451;100;80;57
452;5;48;57
453;68;19;57
454;10;14;57
455;350;7;57
456;110;26;57
457;270;25;57
458;25;4;57
459;55;89;57
460;3;52;58
461;3;48;58
462;10;8;58
463;5;11;58
464;1000;47;58
465;50;13;58
466;100;32;58
467;350;90;58
468;15;4;58
469;300;12;59
470;50;91;59
471;100;4;59
472;100;3;59
473;100;2;59
474;4;11;59
475;20;8;59
476;30;14;59
477;5;48;59
478;3;21;59
479;1000;7;59
480;15;14;60
481;10;48;60
482;10;34;60
483;40;8;60
484;600;7;60
485;70;4;60
486;200;2;60
487;80;3;60
488;400;92;60
489;300;2;61
490;100;3;61
491;70;4;61
492;300;4;61
493;10;65;61
494;500;7;61
495;200;93;61
496;3;34;61
497;3;24;61
498;10;11;61
499;5;40;61
500;20;8;61
501;3;48;61
502;3;21;61
503;3;83;61
504;5;6;61
505;5;4;61
506;60;5;61
507;5;48;62
508;5;21;62
509;10;6;62
510;40;8;62
511;50;65;62
512;10;50;62
513;120;3;62
514;140;5;62
515;190;42;62
516;800;7;62
517;400;74;63
518;250;2;63
519;80;3;63
520;100;4;63
521;200;19;63
522;150;80;63
523;100;26;63
524;20;94;63
525;30;14;63
526;10;52;63
527;5;48;63
528;100;77;63
529;1500;95;63
530;1000;7;64
531;260;2;64
532;380;0;64
533;60;4;64
534;15;8;64
535;50;26;65
536;100;29;65
537;100;3;65
538;106;4;65
539;410;15;65
540;2000;7;65
541;200;96;66
542;200;89;66
543;2000;95;66
544;30;40;66
545;150;19;66
546;20;97;66
547;50;14;66
548;200;98;66
549;120;99;67
550;80;19;67
551;5;8;67
552;4;11;67
553;2;48;67
554;2;21;67
555;100;7;67
556;10;48;68
557;60;88;68
558;5;21;68
559;400;100;68
560;300;10;68
561;50;14;68
562;50;4;68
563;1000;47;68
564;400;101;68
565;30;102;68
566;250;1;69
567;150;4;69
568;100;31;69
569;20;8;69
570;250;30;69
571;5;48;69
572;3;21;69
573;150;3;70
574;100;4;70
575;2000;7;70
576;500;1;70
577;200;10;70
578;400;2;70
579;100;30;70
580;220;31;70
581;30;80;71
582;10;68;71
583;300;1;71
584;30;4;71
585;50;6;71
586;30;32;71
587;30;14;71
588;400;7;71
589;6;48;71
590;4;21;71
591;50;50;71
592;100;50;71
593;6;6;72
594;75;3;72
595;6;14;72
596;1000;15;72
597;1500;7;72
598;40;4;72
599;2;48;72
600;75;3;73
601;400;2;73
602;200;10;73
603;1500;7;73
604;200;20;73
605;75;4;73
606;100;8;73
607;200;40;73
608;10;11;73
609;6;14;73
610;6;6;73
611;2;21;73
612;2;48;73
613;3;48;74
614;5;14;74
615;6;4;74
616;100;4;74
617;400;2;74
618;200;93;74
619;1500;7;74
620;50;37;74
621;300;104;75
622;120;52;75
623;2000;7;75
624;100;105;75
625;200;26;76
626;200;2;76
627;200;14;76
628;800;25;76
629;5;48;76
630;2;21;76
631;200;21;76
632;80;50;77
633;90;3;77
634;150;1;77
635;100;37;77
636;120;5;77
637;1200;7;77
638;150;7;77
