id;name;weight;lemmawordid;dishid
620;Макаронные изделия яичные;50;103;74
621;Вишня;300;104;75
622;Сахар-песок;120;52;75
623;Вода;2000;7;75
624;Крахмал картофельный;100;105;75
625;Яйцо куриное;200;26;76
626;Картофель;200;2;76
627;Укроп и другие пряные травы;200;14;76
628;Кефир 1% жирности;800;25;76
629;Соль поваренная пищевая;5;48;76
630;Перец черный молотый;2;21;76
631;Сныть;200;21;76
632;Сельдерей черешковый;80;50;77
633;Морковь;90;3;77
634;Кабачок;150;1;77
635;Макароны из муки в/с;100;37;77
636;Помидоры;120;5;77
637;Вода;1200;7;77
638;Фасоль красная, консервированная;150;7;77
639;Сахар-песок;5;52;77
640;Масло оливковое;45;8;77
641;Шпинат;100;96;77
642;Соль поваренная пищевая;10;48;77
643;Укроп и другие пряные травы;10;14;78
644;Масло сливочное 82%;30;8;78
645;Вода;1000;7;78
646;Картофель;200;2;78
647;Морковь;150;3;78
648;Капуста белокочанная;500;10;78
649;Горошек замороженный;150;23;78
650;Сахар-песок;25;52;79
651;Уксус 9%;20;81;79
652;Томатная паста;50;65;79
653;Лук репчатый;150;4;79
654;Укроп и другие пряные травы;50;14;79
655;Капуста белокочанная;200;10;79
656;Свекла;300;9;79
657;Вода;1500;7;79
658;Чернослив;200;7;79
659;Укроп и другие пряные травы;10;14;80
660;Картофель;300;2;80
661;Лимонная кислота;3;106;80
662;Соль поваренная пищевая;20;48;80
663;Сахар-песок;10;52;80
664;Чеснок;10;11;80
665;Томатная паста;100;65;80
666;Сельдерей, корень;60;50;80
667;Лук репчатый;100;4;80
668;Морковь;100;3;80
669;Капуста белокочанная;500;10;80
670;Пшено;50;63;80
671;Вода;3000;7;80
672;Лавровый лист;2;51;81
673;Соль поваренная пищевая;3;48;81
674;Перец черный горошек;3;21;81
675;Лук зеленый;1;4;81
676;Укроп обыкновенный;2;14;81
677;Петрушка;3;6;81
678;Морковь;75;3;81
679;Лук репчатый;150;4;81
680;Путассу;150;107;81
681;Вода;700;7;81
682;Перец черный молотый;2;21;82
683;Крупа перловая;100;20;82
684;Шампиньоны;500;0;82
685;Лук репчатый;75;4;82
686;Сыр плавленный;160;31;82
687;Соль поваренная пищевая;3;48;82
688;Вода;1500;7;82
689;Морковь;80;3;82
690;Укроп обыкновенный;1;14;82
691;Петрушка;1;6;82
692;Кабачок;300;1;83
693;Вода;3000;7;83
694;Карри;10;34;83
695;Соль поваренная пищевая;10;48;83
696;Лук репчатый;100;4;83
697;Чечевица зерно;250;32;83
698;Морковь;100;3;83
699;Куриная грудка, без кожи;300;12;83
700;Молоко 0.5%;150;30;84
701;Мюсли "Lucky Days" Тропический микс;70;108;84
702;Семя льна;3;109;85
703;Вода;500;7;85
704;Масло оливковое;5;8;85
705;Лук репчатый;60;4;85
706;Тыква;250;53;85
707;Куриная грудка, без кожи;100;12;85
708;Молоко 2,5%;70;30;86
709;Морковь;40;3;86
710;Горох сушеный;400;70;86
711;Картофель;400;2;86
712;Куриный бульон;2000;47;86
713;Лук репчатый;50;4;87
714;Гречневая крупа продел;50;110;87
715;Картофель;150;2;87
716;Куриный бульон;1500;47;87
717;Кефир 1% жирности;1000;25;88
718;Укроп обыкновенный;30;14;88
719;Картофель;300;2;88
720;Редис;100;77;88
721;Огурец грунтовый;600;19;88
722;Куриная грудка, без кожи;450;12;88
723;Лук зеленый;30;4;88
724;Яйцо куриное;150;26;88
725;Кефир 1% жирности;100;25;89
726;Огурец грунтовый;40;19;89
727;Яблоки;70;111;89
728;Сельдерей листовой;40;50;89
729;Вода;100;7;90
730;Лук репчатый;10;4;90
731;Морковь;25;3;90
732;Картофель;25;2;90
733;Куриная грудка, без кожи;63;12;90
734;Огурец соленый;100;19;91
735;Минтай;350;112;91
736;Вода;1000;7;91
737;Перец сладкий;100;21;91
738;Картофель;200;2;91
739;Шампиньоны;50;0;91
740;Томат грунтовый;50;90;91
741;Томатная паста;25;65;91
742;Лавровый лист;1;51;91
743;Лук зеленый;10;4;91
744;Сок лимонный;30;40;91
745;Морковь;150;3;92
746;Лук репчатый;30;4;92
747;Чеснок;45;11;92
748;фасоль в томатном соусе;220;22;92
749;Куриная грудка, без кожи;400;12;92
750;Помидоры;90;5;92
751;Вода;200;7;93
752;Крупа овсяная;100;20;93
753;Форель морская;600;113;94
754;Картофель;500;2;94
755;Помидоры;300;5;94
756;Лук репчатый;120;4;94
757;Морковь;150;3;94
758;Сливки, 20,0% жирности;500;72;94
759;Масло подсолнечное;30;8;94
760;Перец черный молотый;2;21;95
761;Чеснок;5;11;95
762;Соль поваренная пищевая;2;48;95
763;Вода;100;7;95
764;Масло подсолнечное;20;8;95
765;Капуста белокочанная;100;10;95
766;Лук репчатый;70;4;95
767;Морковь;38;3;95
768;Кабачок;600;1;95
769;Укроп обыкновенный;2;14;95
770;Петрушка;2;6;95
771;Перец черный молотый;5;21;96
772;Соль поваренная пищевая;5;48;96
773;Вода;245;7;96
774;Лук репчатый;40;4;96
775;Картофель;100;2;96
776;Баранина;100;69;96
777;Лавровый лист;5;51;96
778;вода питьевая;50;7;97
779;Крупа манная;25;20;97
780;Молоко 2,5%;200;30;97
781;Сахар-песок;5;52;97
782;Масло сливочное 72%;10;8;97
783;Вода;2200;7;98
784;Лук репчатый;100;4;98
785;Морковь;100;3;98
786;Сельдерей, корень;100;50;98
787;Капуста белокочанная;400;10;99
788;Кабачок;400;1;99
789;Перец сладкий;230;21;99
790;Помидоры;500;5;99
791;Морковь;200;3;99
792;Лук репчатый;230;4;99
793;Свекла;300;9;99
794;Вода;3000;7;99
795;Петрушка;10;6;99
796;Масло подсолнечное;50;8;99
797;Соль поваренная пищевая;4;48;99
798;Перец черный молотый;3;21;99
799;Чеснок;15;11;99
800;Куриный бульон;1000;47;100
801;Свекла;400;9;100
802;Сливки, 20,0% жирности;200;72;100
803;Морковь;100;3;100
804;Сыр Адыгейский;100;31;100
805;Томатная паста;50;65;100
806;Кедровый орех;50;27;100
807;Лук репчатый;100;4;100
808;Чеснок;10;11;100
809;Фарш из говядины;500;114;101
810;Фасоль зерно;300;42;101
811;Говяжий бульон;500;47;101
812;Томатная паста;50;65;101
813;Помидоры;270;5;101
814;Лук репчатый;150;4;101
815;Чеснок;20;11;101
816;Перец Болгарский красный;230;21;101
817;Перец чили;20;21;101
818;Кориандр;5;115;101
819;Зира (кумин);5;116;101
820;Вода;3000;7;102
821;Баранина лопаточная часть;300;69;102
822;Зира (кумин);1;116;102
823;Кориандр;1;115;102
824;Морковь;75;3;102
825;Картофель;300;2;102
826;Перец сладкий;100;21;102
827;Помидоры;65;5;102
828;Лук репчатый;80;4;102
829;Нут;200;4;102
830;Соль поваренная пищевая;5;48;102
831;Чеснок;5;11;102
832;Говядина лопаточная часть;300;82;102
833;Картофель;550;2;103
834;Креветки в панцире;550;18;103
835;Сливки, 20,0% жирности;550;72;103
836;Масло сливочное 72%;45;8;103
837;Соль поваренная пищевая;5;48;103
838;Огурец грунтовый;400;19;104
839;Йогурт натуральный 2%;550;99;104
840;Укроп и другие пряные травы;20;14;104
841;Чеснок;2;11;104
842;Соль поваренная пищевая;2;48;104
843;Вода;450;7;104
844;Масло оливковое;10;8;104
845;Свекла;500;9;105
846;Картофель;500;2;105
847;Морковь;80;3;105
848;Лук репчатый;150;4;105
849;Чеснок;2;11;105
850;Соль поваренная пищевая;5;48;105
851;Перец черный молотый;1;21;105
852;Овощной бульон;1000;47;105
853;Сливки 9% жирности;300;72;105
854;Масло оливковое;10;8;105
855;Сыр плавленный;150;31;106
856;Морковь;400;3;106
857;Лук репчатый;250;4;106
858;Масло оливковое;17;8;106
859;Овощной бульон;1000;47;106
860;Соль поваренная пищевая;3;48;106
861;Перец черный молотый;1;21;106
862;Петрушка;10;6;106
